seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13505,2025,RUS.1,1963,39740,13,0,0,5,2,0,0,0,0,0,0,0,0,41,11,2025-12-02 06:05:14
13505,2025,RUS.1,596,84295,15,0,30,19,7,0,0,2,0,1,17,1,0,0,19,2025-12-02 06:05:14
13505,2025,RUS.1,22271,93367,15,1,29,18,2,0,0,4,0,13,27,5,0,0,20,2025-12-02 06:05:14
13505,2025,RUS.1,1963,105471,16,0,12,12,2,1,0,0,0,3,11,1,0,0,13,2025-12-02 06:05:14
13505,2025,RUS.1,1941,117353,8,6,2,4,0,1,0,0,0,0,3,0,0,0,2,2025-12-02 06:05:19
13505,2025,RUS.1,3851,117362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:05:18
13505,2025,RUS.1,2533,124905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:05:19
13505,2025,RUS.1,11336,136454,15,0,8,9,3,0,0,1,0,1,7,0,0,0,8,2025-12-02 06:05:16
13505,2025,RUS.1,3851,151797,3,3,2,1,1,0,0,0,0,0,1,0,0,0,0,2025-12-02 06:05:18
13505,2025,RUS.1,3850,151799,17,0,1,6,0,0,0,0,0,0,0,0,0,65,31,2025-12-02 06:05:16
13505,2025,RUS.1,22300,154354,10,5,3,4,1,0,0,1,0,1,6,0,0,0,5,2025-12-02 06:05:15
13505,2025,RUS.1,3851,159560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:05:18
13505,2025,RUS.1,2533,162263,8,8,1,0,0,0,0,1,0,0,0,0,0,0,0,2025-12-02 06:05:19
13505,2025,RUS.1,2991,163213,13,8,7,4,0,0,0,2,0,6,13,1,0,0,9,2025-12-02 06:05:14
13505,2025,RUS.1,11336,171508,14,0,10,20,1,0,0,3,0,1,12,0,0,0,7,2025-12-02 06:05:16
13505,2025,RUS.1,21949,172425,16,1,34,8,5,0,0,2,0,8,21,1,0,0,5,2025-12-02 06:05:15
13505,2025,RUS.1,11336,176058,15,0,35,45,1,2,0,4,0,19,44,7,0,0,7,2025-12-02 06:05:16
13505,2025,RUS.1,22271,177155,16,0,0,7,0,0,0,0,0,0,0,0,0,63,23,2025-12-02 06:05:14
13505,2025,RUS.1,3851,178007,13,0,9,16,3,0,0,0,0,2,11,0,0,0,16,2025-12-02 06:05:18
13505,2025,RUS.1,596,178116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-09-12 05:08:18
13505,2025,RUS.1,1941,180573,8,0,17,5,3,1,0,0,0,1,3,0,0,0,8,2025-12-02 06:05:19
13505,2025,RUS.1,2533,182018,17,0,13,42,3,0,0,1,0,0,2,0,0,0,10,2025-12-02 06:05:19
13505,2025,RUS.1,442,182100,7,7,3,4,2,0,0,0,0,0,0,0,0,0,9,2025-12-02 06:05:17
13505,2025,RUS.1,1941,182337,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2025-12-02 06:05:19
13505,2025,RUS.1,3851,183666,13,13,1,1,2,0,0,0,0,0,0,0,0,0,2,2025-12-02 06:05:18
13505,2025,RUS.1,1941,184968,15,5,25,20,2,0,0,1,0,6,12,2,0,0,10,2025-12-02 06:05:19
13505,2025,RUS.1,3850,185726,12,0,11,14,1,0,0,0,0,2,2,1,0,0,23,2025-12-02 06:05:16
13505,2025,RUS.1,442,185823,16,0,0,5,1,0,0,0,0,0,0,0,0,57,19,2025-12-02 06:05:17
13505,2025,RUS.1,2533,186575,11,0,7,5,0,1,0,0,0,5,16,1,0,0,10,2025-12-02 06:05:19
13505,2025,RUS.1,442,189042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:05:17
13505,2025,RUS.1,1941,189794,12,10,7,7,0,0,0,0,0,0,4,0,0,0,1,2025-12-02 06:05:19
13505,2025,RUS.1,20019,190343,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2025-12-02 06:05:18
13505,2025,RUS.1,2991,191104,16,0,15,12,4,0,0,0,0,2,7,0,0,0,23,2025-12-02 06:05:14
13505,2025,RUS.1,21949,192259,10,8,2,6,0,0,0,0,0,1,5,0,0,0,0,2025-12-02 06:05:15
13505,2025,RUS.1,2533,194048,15,9,17,12,1,0,0,1,0,7,19,3,0,0,4,2025-12-02 06:05:19
13505,2025,RUS.1,2991,194183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-28 04:35:06
13505,2025,RUS.1,3851,194183,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,2025-12-02 06:05:18
13505,2025,RUS.1,18285,195225,12,0,13,31,1,0,0,0,0,2,13,0,0,0,20,2025-12-02 06:05:15
13505,2025,RUS.1,3850,195368,7,1,8,4,2,0,0,0,0,1,2,0,0,0,8,2025-12-02 06:05:16
13505,2025,RUS.1,2991,195496,8,7,4,3,0,0,0,0,0,3,6,0,0,0,5,2025-12-02 06:05:14
13505,2025,RUS.1,442,195500,16,0,16,15,5,0,0,4,0,11,27,3,0,0,20,2025-12-02 06:05:17
13505,2025,RUS.1,1963,198350,14,0,17,16,5,0,0,2,0,0,7,0,0,0,11,2025-12-02 06:05:14
13505,2025,RUS.1,11336,198563,5,4,4,4,1,0,0,0,0,1,2,0,0,0,2,2025-12-02 06:05:16
13505,2025,RUS.1,3850,199487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:05:16
13505,2025,RUS.1,596,202673,7,1,5,11,1,0,0,2,0,0,5,0,0,0,11,2025-12-02 06:05:14
13505,2025,RUS.1,1941,202702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:05:19
13505,2025,RUS.1,1963,205442,2,0,5,6,1,0,0,0,0,0,3,0,0,0,1,2025-08-14 04:42:31
13505,2025,RUS.1,2991,205670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:05:14
13505,2025,RUS.1,3851,205714,8,1,11,8,1,0,0,0,0,1,5,0,0,0,5,2025-12-02 06:05:18
13505,2025,RUS.1,442,205724,16,10,25,12,1,1,0,2,0,11,22,5,0,0,10,2025-12-02 06:05:17
13505,2025,RUS.1,596,206252,10,0,0,1,0,0,0,0,0,0,0,0,0,15,15,2025-12-02 06:05:14
13505,2025,RUS.1,22271,206846,14,7,6,4,1,0,0,0,0,0,1,0,0,0,7,2025-12-02 06:05:14
13505,2025,RUS.1,22271,207044,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-12-02 06:05:14
13505,2025,RUS.1,20019,207133,7,2,7,3,1,0,0,1,0,2,6,1,0,0,10,2025-12-02 06:05:18
13505,2025,RUS.1,11336,208642,12,8,7,6,1,0,0,0,0,0,4,0,0,0,4,2025-12-02 06:05:16
13505,2025,RUS.1,2533,210135,11,4,10,19,2,0,0,0,0,2,5,0,0,0,6,2025-12-02 06:05:19
13505,2025,RUS.1,442,211895,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2025-12-02 06:05:17
13505,2025,RUS.1,3850,212348,12,1,19,11,4,0,0,3,0,2,8,1,0,0,20,2025-12-02 06:05:16
13505,2025,RUS.1,22271,213843,8,0,12,2,1,0,0,0,0,0,4,0,0,0,10,2025-12-02 06:05:14
13505,2025,RUS.1,596,214231,3,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2025-12-02 06:05:14
13505,2025,RUS.1,2533,215934,11,4,5,0,0,0,0,1,0,10,20,4,0,0,6,2025-12-02 06:05:19
13505,2025,RUS.1,22271,216351,16,0,19,9,4,0,0,0,0,3,7,1,0,0,22,2025-12-02 06:05:14
13505,2025,RUS.1,2991,217150,14,10,8,4,0,0,0,0,0,9,18,3,0,0,7,2025-12-02 06:05:14
13505,2025,RUS.1,2991,219176,16,4,36,21,2,1,0,1,0,9,30,4,0,0,16,2025-12-02 06:05:14
13505,2025,RUS.1,1941,219535,10,2,10,4,0,0,0,0,0,2,4,0,0,0,13,2025-12-02 06:05:19
13505,2025,RUS.1,3852,220727,3,3,2,1,1,0,0,0,0,0,0,0,0,0,1,2025-12-02 06:05:17
13505,2025,RUS.1,18285,220730,6,0,7,4,0,0,0,0,0,0,3,0,0,0,11,2025-12-02 06:05:15
13505,2025,RUS.1,22271,221140,16,4,19,0,2,0,1,2,0,6,23,3,0,0,15,2025-12-02 06:05:14
13505,2025,RUS.1,3850,221401,16,3,13,26,3,0,0,0,0,3,9,2,0,0,19,2025-12-02 06:05:16
13505,2025,RUS.1,596,222142,12,10,5,13,0,0,0,1,0,3,12,0,0,0,7,2025-12-02 06:05:14
13505,2025,RUS.1,2991,222299,17,0,2,30,0,0,0,0,0,0,2,0,0,0,25,2025-12-02 06:05:14
13505,2025,RUS.1,3852,222866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:05:17
13505,2025,RUS.1,13150,224196,15,0,36,29,8,0,0,0,0,20,46,6,0,0,22,2025-12-02 06:05:17
13505,2025,RUS.1,442,224323,16,0,15,7,4,0,0,0,0,5,15,1,0,0,19,2025-12-02 06:05:17
13505,2025,RUS.1,1941,224632,13,6,11,10,0,0,0,2,0,7,19,4,0,0,11,2025-12-02 06:05:19
13505,2025,RUS.1,11336,225223,16,2,27,19,3,1,0,0,0,5,23,2,0,0,7,2025-12-02 06:05:16
13505,2025,RUS.1,3850,225239,15,7,9,13,3,0,0,0,0,4,15,1,0,0,13,2025-12-02 06:05:16
13505,2025,RUS.1,1941,225584,17,0,1,4,1,0,0,0,0,0,0,0,0,40,22,2025-12-02 06:05:19
13505,2025,RUS.1,1963,225585,17,0,16,4,2,0,0,4,0,10,25,4,0,0,13,2025-12-02 06:05:14
13505,2025,RUS.1,3851,225594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:05:18
13505,2025,RUS.1,18285,225597,7,2,13,10,2,1,0,0,0,1,4,0,0,0,11,2025-12-02 06:05:15
13505,2025,RUS.1,2533,225598,13,0,0,2,0,0,0,0,0,0,0,0,0,28,7,2025-12-02 06:05:19
13505,2025,RUS.1,442,227225,13,3,18,22,4,1,0,4,0,6,17,2,0,0,10,2025-12-02 06:05:17
13505,2025,RUS.1,3852,228337,15,0,18,27,2,0,0,0,0,2,14,1,0,0,14,2025-12-02 06:05:17
13505,2025,RUS.1,20019,228447,16,3,10,19,2,0,0,0,0,9,18,3,0,0,34,2025-12-02 06:05:18
13505,2025,RUS.1,1963,228556,4,4,1,1,0,0,0,0,0,1,2,0,0,0,1,2025-08-20 04:46:37
13505,2025,RUS.1,21949,231243,13,3,16,25,1,0,0,0,0,0,4,0,0,0,3,2025-12-02 06:05:15
13505,2025,RUS.1,21949,231245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-09-12 05:08:18
13505,2025,RUS.1,11336,231778,11,6,3,8,0,0,0,2,0,4,14,1,0,0,5,2025-12-02 06:05:16
13505,2025,RUS.1,3851,233278,10,1,5,20,0,0,0,0,0,1,4,1,0,0,8,2025-12-02 06:05:18
13505,2025,RUS.1,2991,234407,14,0,0,2,1,0,0,1,0,0,0,0,0,37,21,2025-12-02 06:05:14
13505,2025,RUS.1,13150,234733,16,0,0,1,1,0,0,0,0,0,0,0,0,47,26,2025-12-02 06:05:17
13505,2025,RUS.1,3850,236437,16,9,18,5,1,0,0,0,0,0,6,0,0,0,10,2025-12-02 06:05:16
13505,2025,RUS.1,2533,236782,14,0,7,14,1,0,0,0,0,4,11,1,0,0,9,2025-12-02 06:05:19
13505,2025,RUS.1,2991,237586,5,2,3,3,1,1,0,0,0,0,2,0,0,0,4,2025-12-02 06:05:14
13505,2025,RUS.1,2991,238434,17,0,14,21,3,0,0,0,0,3,19,1,0,0,25,2025-12-02 06:05:14
13505,2025,RUS.1,18285,238933,16,0,28,14,7,0,0,1,0,2,14,0,0,0,19,2025-12-02 06:05:15
13505,2025,RUS.1,442,240505,17,0,35,16,3,0,0,2,0,4,24,3,0,0,15,2025-12-02 06:05:17
13505,2025,RUS.1,3851,240567,14,1,27,26,3,0,0,2,0,1,7,1,0,0,17,2025-12-02 06:05:18
13505,2025,RUS.1,1963,240578,17,0,16,23,3,0,0,3,0,12,30,5,0,0,14,2025-12-02 06:05:14
13505,2025,RUS.1,596,241119,9,3,7,11,0,0,0,0,0,1,8,1,0,0,3,2025-12-02 06:05:14
13505,2025,RUS.1,442,241161,14,3,18,17,6,0,0,1,0,18,33,7,0,0,12,2025-12-02 06:05:17
13505,2025,RUS.1,1941,241173,17,0,5,48,0,0,0,3,0,7,28,4,0,0,19,2025-12-02 06:05:19
13505,2025,RUS.1,596,241587,16,0,35,17,4,0,0,0,0,8,32,2,0,0,22,2025-12-02 06:05:14
13505,2025,RUS.1,3850,245881,7,4,8,3,1,0,0,0,0,1,3,1,0,0,7,2025-12-02 06:05:16
13505,2025,RUS.1,22300,248702,13,0,18,25,2,0,0,0,0,0,1,0,0,0,17,2025-12-02 06:05:15
13505,2025,RUS.1,22271,248703,10,3,16,7,1,0,0,1,0,0,4,0,0,0,9,2025-12-02 06:05:14
13505,2025,RUS.1,3852,248829,17,4,26,18,2,0,0,3,0,10,31,1,0,0,16,2025-12-02 06:05:17
13505,2025,RUS.1,20019,251568,10,0,10,16,2,0,0,0,0,2,6,0,0,0,25,2025-12-02 06:05:18
13505,2025,RUS.1,13150,251832,17,2,25,16,3,0,0,1,0,9,16,1,0,0,19,2025-12-02 06:05:17
13505,2025,RUS.1,22300,252026,15,0,13,15,3,0,0,0,0,2,9,1,0,0,17,2025-12-02 06:05:15
13505,2025,RUS.1,11336,252567,16,0,23,11,1,0,0,1,0,3,9,1,0,0,10,2025-12-02 06:05:16
13505,2025,RUS.1,22300,252774,16,0,8,29,1,0,0,1,0,2,6,0,0,0,18,2025-12-02 06:05:15
13505,2025,RUS.1,20019,252775,3,1,9,2,1,0,0,1,0,1,7,1,0,0,3,2025-12-02 06:05:18
13505,2025,RUS.1,2533,253305,14,0,9,35,1,0,0,2,0,6,14,1,0,0,9,2025-12-02 06:05:19
13505,2025,RUS.1,18285,253757,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2025-09-12 05:08:19
13505,2025,RUS.1,2533,253957,4,0,0,0,1,0,0,0,0,0,0,0,0,7,5,2025-12-02 06:05:19
13505,2025,RUS.1,3850,256118,15,1,23,25,5,0,0,1,0,6,18,2,0,0,22,2025-12-02 06:05:16
13505,2025,RUS.1,1941,256603,14,0,30,29,2,0,0,2,0,7,14,4,0,0,17,2025-12-02 06:05:19
13505,2025,RUS.1,13150,256809,5,5,0,1,0,0,0,0,0,0,1,0,0,0,3,2025-12-02 06:05:17
13505,2025,RUS.1,1941,256814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:05:19
13505,2025,RUS.1,18285,258121,14,0,24,24,3,0,0,0,0,1,6,0,0,0,22,2025-12-02 06:05:15
13505,2025,RUS.1,1941,258308,15,1,18,15,1,1,0,3,0,6,24,2,0,0,15,2025-12-02 06:05:19
13505,2025,RUS.1,2991,258730,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-12-02 06:05:14
13505,2025,RUS.1,3851,259006,10,0,12,2,0,0,1,0,0,0,2,0,0,0,16,2025-12-02 06:05:18
13505,2025,RUS.1,21949,259067,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:05:15
13505,2025,RUS.1,1941,259871,2,0,6,4,1,0,0,0,0,0,0,0,0,0,3,2025-08-08 04:42:51
13505,2025,RUS.1,11336,259879,17,0,11,39,1,0,0,1,0,8,28,4,0,0,8,2025-12-02 06:05:16
13505,2025,RUS.1,18285,260208,4,3,1,1,0,0,0,0,0,0,1,0,0,0,2,2025-12-02 06:05:15
13505,2025,RUS.1,21949,260210,11,10,10,5,2,0,0,1,0,1,5,0,0,0,1,2025-12-02 06:05:15
13505,2025,RUS.1,2991,260270,2,1,2,2,0,0,0,0,0,0,3,0,0,0,2,2025-12-02 06:05:14
13505,2025,RUS.1,2533,260299,2,2,1,2,0,0,0,0,0,1,1,0,0,0,0,2025-12-02 06:05:19
13505,2025,RUS.1,22271,264342,12,8,8,13,2,0,0,0,0,4,9,0,0,0,12,2025-12-02 06:05:14
13505,2025,RUS.1,442,264519,7,1,12,2,1,0,0,0,0,2,6,1,0,0,5,2025-12-02 06:05:17
13505,2025,RUS.1,1941,265974,6,1,7,2,0,0,0,0,0,0,1,0,0,0,10,2025-09-12 05:08:21
13505,2025,RUS.1,596,265979,8,0,9,5,2,0,0,0,0,2,4,0,0,0,8,2025-12-02 06:05:14
13505,2025,RUS.1,3850,266071,12,5,19,16,0,0,0,2,0,4,17,2,0,0,11,2025-12-02 06:05:16
13505,2025,RUS.1,11336,266076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:05:16
13505,2025,RUS.1,3850,267526,15,4,11,6,5,0,0,4,0,1,2,0,0,0,20,2025-12-02 06:05:16
13505,2025,RUS.1,22271,270104,9,2,9,3,1,0,0,1,0,1,2,1,0,0,9,2025-12-02 06:05:14
13505,2025,RUS.1,21949,270107,16,0,35,8,5,0,0,0,0,4,11,1,0,0,7,2025-12-02 06:05:15
13505,2025,RUS.1,1963,270260,14,6,11,8,2,0,0,1,0,7,16,1,0,0,8,2025-12-02 06:05:14
13505,2025,RUS.1,596,270809,8,1,11,11,1,0,0,0,0,2,10,0,0,0,15,2025-12-02 06:05:14
13505,2025,RUS.1,20019,271505,12,4,20,17,1,0,1,0,0,4,9,2,0,0,17,2025-12-02 06:05:18
13505,2025,RUS.1,596,271574,15,1,9,14,2,0,0,1,0,0,5,0,0,0,20,2025-12-02 06:05:14
13505,2025,RUS.1,13150,271636,15,7,21,7,2,0,0,0,0,8,19,1,0,0,14,2025-12-02 06:05:17
13505,2025,RUS.1,2533,272045,10,3,6,6,0,0,0,0,0,5,6,1,0,0,5,2025-12-02 06:05:19
13505,2025,RUS.1,1941,272239,7,3,2,3,0,0,0,0,0,0,1,0,0,0,2,2025-12-02 06:05:19
13505,2025,RUS.1,13150,272366,10,5,10,12,1,0,0,0,0,1,3,0,0,0,11,2025-12-02 06:05:17
13505,2025,RUS.1,596,273827,17,3,15,15,3,0,0,2,0,14,29,6,0,0,20,2025-12-02 06:05:14
13505,2025,RUS.1,3850,274744,3,2,1,1,1,0,0,0,0,0,0,0,0,0,2,2025-12-02 06:05:16
13505,2025,RUS.1,18285,275607,8,7,8,1,0,0,0,0,0,0,1,0,0,0,4,2025-12-02 06:05:15
13505,2025,RUS.1,3850,276024,3,3,2,1,0,0,0,0,0,0,2,0,0,0,1,2025-12-02 06:05:16
13505,2025,RUS.1,13150,276057,7,6,4,3,1,0,0,0,0,2,5,1,0,0,4,2025-12-02 06:05:17
13505,2025,RUS.1,11336,276232,12,0,19,21,4,0,0,0,0,6,21,1,0,0,5,2025-12-02 06:05:16
13505,2025,RUS.1,20019,276459,9,0,0,4,1,0,0,0,0,0,0,0,0,31,18,2025-12-02 06:05:18
13505,2025,RUS.1,1963,276575,15,0,11,3,1,0,0,0,0,6,18,2,0,0,13,2025-12-02 06:05:14
13505,2025,RUS.1,21949,276699,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:05:15
13505,2025,RUS.1,3850,276700,6,1,7,1,3,0,0,1,0,0,0,0,0,0,8,2025-12-02 06:05:16
13505,2025,RUS.1,22300,276786,15,3,18,17,3,0,0,1,0,8,23,2,0,0,12,2025-12-02 06:05:15
13505,2025,RUS.1,3852,276821,16,4,9,16,3,0,0,0,0,11,28,0,0,0,14,2025-12-02 06:05:17
13505,2025,RUS.1,2533,277119,12,5,4,9,1,0,0,0,0,0,1,0,0,0,3,2025-12-02 06:05:19
13505,2025,RUS.1,22271,277233,11,8,5,2,3,0,0,0,0,0,2,0,0,0,5,2025-12-02 06:05:14
13505,2025,RUS.1,2533,277314,16,6,12,10,2,0,1,0,0,0,3,0,0,0,10,2025-12-02 06:05:19
13505,2025,RUS.1,1941,281336,3,2,8,0,0,1,0,0,0,0,0,0,0,0,2,2025-12-02 06:05:19
13505,2025,RUS.1,18285,281361,14,8,14,6,3,0,0,0,0,2,8,1,0,0,12,2025-12-02 06:05:15
13505,2025,RUS.1,3851,281388,10,7,1,0,0,0,0,0,0,0,6,0,0,0,9,2025-12-02 06:05:18
13505,2025,RUS.1,1941,283606,7,1,13,9,2,0,0,0,0,1,4,0,0,0,7,2025-12-02 06:05:19
13505,2025,RUS.1,2991,283896,17,1,19,39,2,1,0,2,0,4,26,0,0,0,22,2025-12-02 06:05:14
13505,2025,RUS.1,3852,284596,12,1,26,13,3,0,0,0,0,2,4,0,0,0,12,2025-12-02 06:05:17
13505,2025,RUS.1,20019,285118,8,0,11,4,3,1,0,0,0,1,1,0,0,0,17,2025-12-02 06:05:18
13505,2025,RUS.1,22300,285551,4,1,6,3,0,1,0,0,0,0,3,0,0,0,4,2025-12-02 06:05:15
13505,2025,RUS.1,20019,285664,15,1,6,22,3,0,0,1,0,6,20,3,0,0,31,2025-12-02 06:05:18
13505,2025,RUS.1,442,285889,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-08-23 04:53:47
13505,2025,RUS.1,1941,285889,3,2,1,1,0,0,0,0,0,0,0,0,0,0,2,2025-12-02 06:05:19
13505,2025,RUS.1,22300,286476,11,0,0,4,0,0,0,0,0,0,0,0,0,25,14,2025-12-02 06:05:15
13505,2025,RUS.1,18285,286536,14,1,14,9,1,0,0,1,0,2,12,0,0,0,13,2025-12-02 06:05:15
13505,2025,RUS.1,18285,286537,17,0,0,10,1,0,0,0,0,0,0,0,0,52,28,2025-12-02 06:05:15
13505,2025,RUS.1,22300,286568,5,0,0,3,0,0,0,0,0,0,0,0,0,8,6,2025-12-02 06:05:15
13505,2025,RUS.1,2533,286579,15,2,17,22,2,0,0,4,0,20,30,8,0,0,6,2025-12-02 06:05:19
13505,2025,RUS.1,1941,286580,16,0,25,16,6,0,0,2,0,2,13,0,0,0,22,2025-12-02 06:05:19
13505,2025,RUS.1,22271,286583,17,2,22,25,0,0,0,1,0,0,4,0,0,0,20,2025-12-02 06:05:14
13505,2025,RUS.1,1963,286704,7,4,5,4,0,0,0,0,0,0,1,0,0,0,2,2025-12-02 06:05:14
13505,2025,RUS.1,22271,286963,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2025-12-02 06:05:14
13505,2025,RUS.1,22271,287260,8,3,5,2,2,0,0,0,0,2,9,0,0,0,11,2025-12-02 06:05:14
13505,2025,RUS.1,13150,287346,17,0,14,22,3,0,1,0,0,0,6,0,0,0,27,2025-12-02 06:05:17
13505,2025,RUS.1,1963,287946,9,2,11,9,2,0,0,0,0,0,2,0,0,0,7,2025-12-02 06:05:14
13505,2025,RUS.1,21949,287993,15,0,25,7,5,1,0,0,0,3,8,1,0,0,6,2025-12-02 06:05:15
13505,2025,RUS.1,1963,288669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-10 04:40:42
13505,2025,RUS.1,18285,288859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:05:15
13505,2025,RUS.1,3850,288910,17,3,15,9,1,0,0,2,0,2,8,0,0,0,24,2025-12-02 06:05:16
13505,2025,RUS.1,3852,289106,17,0,1,2,3,0,0,0,0,0,0,0,0,31,20,2025-12-02 06:05:17
13505,2025,RUS.1,20019,289352,15,8,16,13,2,0,0,0,0,0,2,0,0,0,24,2025-12-02 06:05:18
13505,2025,RUS.1,596,289354,13,0,7,10,2,0,0,0,0,2,8,2,0,0,22,2025-12-02 06:05:14
13505,2025,RUS.1,3852,289431,8,3,8,0,2,0,0,0,0,1,6,0,0,0,8,2025-12-02 06:05:17
13505,2025,RUS.1,2533,289432,16,10,2,12,1,0,0,1,0,11,19,6,0,0,5,2025-12-02 06:05:19
13505,2025,RUS.1,18285,289574,15,10,22,18,2,0,0,0,0,6,11,1,0,0,9,2025-12-02 06:05:15
13505,2025,RUS.1,2533,289686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-21 04:36:39
13505,2025,RUS.1,20019,289686,10,1,10,2,1,0,1,1,0,2,5,0,0,0,20,2025-12-02 06:05:18
13505,2025,RUS.1,22271,289686,4,1,5,2,1,0,1,0,0,0,1,0,0,0,9,2025-09-12 05:08:17
13505,2025,RUS.1,3851,289690,6,5,2,2,1,0,0,0,0,1,1,0,0,0,1,2025-12-02 06:05:18
13505,2025,RUS.1,21949,289820,4,4,3,2,0,0,0,0,0,1,1,0,0,0,0,2025-12-02 06:05:15
13505,2025,RUS.1,3850,289923,11,0,14,6,4,0,0,0,0,0,6,0,0,0,20,2025-12-02 06:05:16
13505,2025,RUS.1,3852,290009,10,1,18,8,4,0,0,0,0,0,4,0,0,0,8,2025-12-02 06:05:17
13505,2025,RUS.1,1941,291184,16,7,14,25,4,0,0,0,0,12,30,4,0,0,13,2025-12-02 06:05:19
13505,2025,RUS.1,3852,291934,16,5,30,15,4,0,0,0,0,14,27,4,0,0,12,2025-12-02 06:05:17
13505,2025,RUS.1,21949,292272,16,1,23,18,5,0,0,1,0,5,20,2,0,0,3,2025-12-02 06:05:15
13505,2025,RUS.1,1963,292389,5,1,0,1,0,0,0,0,0,0,0,0,0,11,3,2025-12-02 06:05:14
13505,2025,RUS.1,20019,292736,8,1,15,6,4,0,0,1,0,0,5,0,0,0,10,2025-12-02 06:05:18
13505,2025,RUS.1,3851,293400,16,0,58,41,4,0,0,0,0,20,37,9,0,0,19,2025-12-02 06:05:18
13505,2025,RUS.1,18285,293870,12,2,10,10,1,0,0,0,0,2,6,1,0,0,13,2025-12-02 06:05:15
13505,2025,RUS.1,11336,295071,15,0,23,5,5,1,0,0,0,5,15,2,0,0,7,2025-12-02 06:05:16
13505,2025,RUS.1,1963,296537,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2025-08-06 04:43:32
13505,2025,RUS.1,20019,296537,10,7,8,4,0,0,0,0,0,1,2,1,0,0,8,2025-12-02 06:05:18
13505,2025,RUS.1,3852,296999,16,7,9,28,2,0,0,2,0,7,23,1,0,0,10,2025-12-02 06:05:17
13505,2025,RUS.1,11336,297302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-26 04:37:01
13505,2025,RUS.1,13150,297302,15,2,16,13,1,0,0,1,0,12,38,2,0,0,21,2025-12-02 06:05:17
13505,2025,RUS.1,442,300105,13,4,15,5,0,0,0,1,0,1,7,0,0,0,11,2025-12-02 06:05:17
13505,2025,RUS.1,21949,300915,9,7,11,4,1,0,0,1,0,1,3,0,0,0,2,2025-12-02 06:05:15
13505,2025,RUS.1,596,301540,14,5,9,8,1,0,0,1,0,2,10,1,0,0,14,2025-12-02 06:05:14
13505,2025,RUS.1,3851,301681,15,4,23,8,3,0,0,1,0,2,11,0,0,0,7,2025-12-02 06:05:18
13505,2025,RUS.1,18285,301818,6,3,2,3,0,0,0,0,0,2,5,0,0,0,5,2025-12-02 06:05:15
13505,2025,RUS.1,2991,301965,12,1,15,7,2,1,0,0,0,5,9,2,0,0,16,2025-12-02 06:05:14
13505,2025,RUS.1,1941,301976,16,5,26,20,4,0,0,0,0,13,33,4,0,0,14,2025-12-02 06:05:19
13505,2025,RUS.1,442,302062,14,4,18,7,3,0,0,1,0,1,6,0,0,0,9,2025-12-02 06:05:17
13505,2025,RUS.1,596,302063,8,3,16,4,0,0,0,0,0,5,18,2,0,0,8,2025-12-02 06:05:14
13505,2025,RUS.1,3851,302668,17,2,19,16,3,0,0,1,0,10,37,1,0,0,17,2025-12-02 06:05:18
