seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13655,2025,RSA.1,7079,22004,10,0,0,1,0,0,0,0,0,0,0,0,0,37,6,2025-12-02 06:07:27
13655,2025,RSA.1,18615,66450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:07:32
13655,2025,RSA.1,7084,89834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:07:29
13655,2025,RSA.1,19000,92896,4,2,4,0,0,0,0,0,0,0,0,0,0,0,7,2025-12-02 06:07:30
13655,2025,RSA.1,7077,108527,9,2,9,8,1,0,0,0,0,1,7,0,0,0,9,2025-12-02 06:07:28
13655,2025,RSA.1,20814,111946,12,2,9,10,3,0,0,1,0,9,22,6,0,0,6,2025-12-02 06:07:31
13655,2025,RSA.1,13317,120123,13,0,0,8,2,0,0,0,0,0,0,0,0,40,16,2025-12-02 06:07:30
13655,2025,RSA.1,22348,129306,14,0,0,4,0,0,0,0,0,0,0,0,0,28,11,2025-12-02 06:07:28
13655,2025,RSA.1,22348,129564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:07:28
13655,2025,RSA.1,7077,139425,7,2,8,5,2,0,0,0,0,1,2,0,0,0,8,2025-12-02 06:07:28
13655,2025,RSA.1,131361,151866,9,7,1,3,0,0,0,0,0,2,4,0,0,0,4,2025-12-02 06:07:32
13655,2025,RSA.1,7077,151870,4,3,2,0,1,0,0,0,0,0,1,0,0,0,1,2025-12-02 06:07:28
13655,2025,RSA.1,131361,152207,3,0,4,0,0,0,0,0,0,0,0,0,0,0,4,2025-12-02 06:07:32
13655,2025,RSA.1,7084,155179,4,0,3,1,0,0,0,0,0,0,1,0,0,0,2,2025-12-02 06:07:29
13655,2025,RSA.1,7084,157046,3,2,1,0,0,0,0,0,0,1,2,0,0,0,1,2025-12-02 06:07:29
13655,2025,RSA.1,13317,164877,4,2,3,1,0,1,0,0,0,0,0,0,0,0,2,2025-12-02 06:07:30
13655,2025,RSA.1,13317,165059,13,1,22,16,4,0,0,0,0,1,4,0,0,0,13,2025-12-02 06:07:30
13655,2025,RSA.1,20814,165135,9,7,2,5,0,0,0,0,0,0,1,0,0,0,2,2025-12-02 06:07:31
13655,2025,RSA.1,13317,167023,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2025-12-02 06:07:30
13655,2025,RSA.1,11913,167041,4,3,1,1,0,0,0,0,0,1,4,0,0,0,1,2025-12-02 06:07:27
13655,2025,RSA.1,7084,172748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:07:29
13655,2025,RSA.1,20814,177844,8,1,3,5,0,0,0,0,0,0,2,0,0,0,2,2025-12-02 06:07:31
13655,2025,RSA.1,7079,177890,5,3,4,0,0,0,0,0,0,0,1,0,0,0,3,2025-12-02 06:07:27
13655,2025,RSA.1,7084,177921,6,2,4,3,0,0,0,1,0,0,0,0,0,0,1,2025-12-02 06:07:29
13655,2025,RSA.1,7085,181252,2,1,2,4,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:07:30
13655,2025,RSA.1,18825,185268,14,5,29,12,5,0,0,0,0,14,23,4,0,0,8,2025-12-02 06:07:31
13655,2025,RSA.1,19000,185472,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2025-12-02 06:07:30
13655,2025,RSA.1,7081,186119,11,0,0,2,1,0,0,0,0,0,0,0,0,19,6,2025-12-02 06:07:29
13655,2025,RSA.1,131361,186121,13,0,0,4,1,0,0,0,0,0,0,0,0,27,10,2025-12-02 06:07:32
13655,2025,RSA.1,7079,187618,3,0,0,1,0,0,0,0,0,0,0,0,0,1,5,2025-12-02 06:07:27
13655,2025,RSA.1,7099,191528,8,8,9,9,0,0,0,2,0,3,10,1,0,0,3,2025-12-02 06:07:31
13655,2025,RSA.1,18615,194737,13,4,14,10,1,0,0,1,0,3,11,2,0,0,11,2025-12-02 06:07:32
13655,2025,RSA.1,7084,196230,12,0,0,3,0,0,0,0,0,0,0,0,0,20,6,2025-12-02 06:07:29
13655,2025,RSA.1,7077,204667,8,8,3,5,0,0,0,0,0,0,2,0,0,0,3,2025-12-02 06:07:28
13655,2025,RSA.1,7077,204673,6,3,4,8,0,0,0,0,0,3,12,2,0,0,4,2025-12-02 06:07:28
13655,2025,RSA.1,7081,204806,11,8,7,4,0,0,0,2,0,5,12,1,0,0,3,2025-12-02 06:07:29
13655,2025,RSA.1,20814,205523,6,0,0,2,0,0,0,0,0,0,0,0,0,11,5,2025-12-02 06:07:31
13655,2025,RSA.1,19298,207557,12,0,14,6,3,0,0,0,0,4,15,1,0,0,10,2025-12-02 06:07:32
13655,2025,RSA.1,131361,207563,13,2,11,14,0,0,0,0,0,6,18,1,0,0,8,2025-12-02 06:07:32
13655,2025,RSA.1,7085,207629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:07:30
13655,2025,RSA.1,7079,207898,13,0,5,18,0,0,0,3,0,6,15,4,0,0,8,2025-12-02 06:07:27
13655,2025,RSA.1,7081,208363,10,0,17,10,4,0,0,0,0,1,5,0,0,0,5,2025-12-02 06:07:29
13655,2025,RSA.1,7085,210172,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:07:30
13655,2025,RSA.1,7079,210254,6,3,12,3,2,0,0,0,0,0,1,0,0,0,3,2025-12-02 06:07:27
13655,2025,RSA.1,11913,211136,2,0,0,1,1,0,0,0,0,0,0,0,0,6,2,2025-12-02 06:07:27
13655,2025,RSA.1,7077,218792,5,0,0,2,0,0,0,0,0,0,0,0,0,17,7,2025-12-02 06:07:28
13655,2025,RSA.1,131361,218792,1,0,0,1,0,0,0,0,0,0,0,0,0,2,2,2025-09-20 05:08:17
13655,2025,RSA.1,7085,218876,5,3,5,5,0,0,0,0,0,3,4,1,0,0,0,2025-12-02 06:07:30
13655,2025,RSA.1,11913,223811,14,2,22,8,3,0,0,0,0,1,5,0,0,0,15,2025-12-02 06:07:27
13655,2025,RSA.1,7084,223818,11,3,12,11,1,0,0,1,0,2,8,0,0,0,5,2025-12-02 06:07:29
13655,2025,RSA.1,131361,224027,12,1,7,10,0,0,0,0,0,1,2,0,0,0,9,2025-12-02 06:07:32
13655,2025,RSA.1,22348,225135,8,5,7,8,1,0,0,0,0,1,5,0,0,0,3,2025-12-02 06:07:28
13655,2025,RSA.1,20814,225486,11,0,6,9,1,0,0,0,0,3,8,2,0,0,6,2025-12-02 06:07:31
13655,2025,RSA.1,7084,228438,12,1,8,17,1,0,0,1,0,2,3,1,0,0,6,2025-12-02 06:07:29
13655,2025,RSA.1,7077,228582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:07:28
13655,2025,RSA.1,7081,228583,4,1,2,1,1,0,0,1,0,2,5,0,0,0,4,2025-12-02 06:07:29
13655,2025,RSA.1,7081,228587,3,1,2,3,0,0,0,0,0,1,3,1,0,0,1,2025-12-02 06:07:29
13655,2025,RSA.1,7084,228597,9,1,7,9,2,0,1,0,0,0,1,0,0,0,5,2025-12-02 06:07:29
13655,2025,RSA.1,20814,229643,2,1,1,2,0,0,0,0,0,0,1,0,0,0,0,2025-12-02 06:07:31
13655,2025,RSA.1,7084,230158,9,3,6,6,0,0,0,0,0,9,20,3,0,0,3,2025-12-02 06:07:29
13655,2025,RSA.1,18825,230569,6,0,0,0,0,0,0,0,0,0,0,0,0,17,5,2025-12-02 06:07:31
13655,2025,RSA.1,18611,231831,5,4,1,0,0,0,0,0,0,0,0,0,0,0,5,2025-12-02 06:07:29
13655,2025,RSA.1,7079,232328,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2025-12-02 06:07:27
13655,2025,RSA.1,18611,232721,12,0,0,6,2,0,0,0,0,0,0,0,0,28,18,2025-12-02 06:07:29
13655,2025,RSA.1,18825,232732,5,0,1,7,0,0,0,0,0,3,3,1,0,0,4,2025-12-02 06:07:31
13655,2025,RSA.1,18611,232778,9,5,14,15,1,0,0,0,0,1,11,1,0,0,4,2025-12-02 06:07:29
13655,2025,RSA.1,7077,236207,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2025-12-02 06:07:28
13655,2025,RSA.1,131361,236208,6,2,5,2,0,0,0,0,0,0,1,0,0,0,5,2025-12-02 06:07:32
13655,2025,RSA.1,7084,240464,4,4,4,1,0,0,0,0,0,0,1,0,0,0,0,2025-12-02 06:07:29
13655,2025,RSA.1,7084,240465,2,2,2,0,1,0,0,0,0,0,1,0,0,0,0,2025-12-02 06:07:29
13655,2025,RSA.1,7079,241489,6,1,3,7,1,0,0,1,0,2,6,0,0,0,5,2025-12-02 06:07:27
13655,2025,RSA.1,19298,247130,12,3,17,6,1,0,0,0,0,3,6,2,0,0,10,2025-12-02 06:07:32
13655,2025,RSA.1,7084,247133,6,2,2,3,0,0,0,2,0,0,2,0,0,0,1,2025-12-02 06:07:29
